path,scanner,dpi
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_49_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_4_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_50_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_51_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_52_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_53_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_54_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_55_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_56_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_57_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_58_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_59_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_5_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_60_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_61_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_62_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_63_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_64_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_65_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_66_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_67_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_68_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_69_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_6_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_70_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_71_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_72_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_73_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_74_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_75_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_76_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_77_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_78_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_79_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_7_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_80_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_81_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_82_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_83_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_84_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_85_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_86_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_87_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_88_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_89_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_8_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_90_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_91_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_92_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_93_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_94_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_95_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_96_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_97_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_98_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_99_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\150\s1_9_res_vis.png,Canon120-1,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_100_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_10_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_11_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_12_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_13_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_14_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_15_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_16_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_17_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_18_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_19_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_1_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_20_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_21_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_22_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_23_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_24_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_25_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_26_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_27_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_28_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_29_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_2_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_30_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_31_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_32_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_33_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_34_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_35_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_36_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_37_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_38_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_39_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_3_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_40_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_41_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_42_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_43_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_44_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_45_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_46_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_47_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_48_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_49_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_4_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_50_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_51_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_52_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_53_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_54_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_55_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_56_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_57_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_58_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_59_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_5_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_60_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_61_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_62_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_63_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_64_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_65_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_66_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_67_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_68_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_69_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_6_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_70_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_71_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_72_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_73_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_74_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_75_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_76_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_77_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_78_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_79_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_7_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_80_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_81_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_82_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_83_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_84_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_85_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_86_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_87_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_88_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_89_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_8_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_90_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_91_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_92_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_93_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_94_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_95_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_96_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_97_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_98_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_99_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-1\300\s1_9_res_vis.png,Canon120-1,300
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-2\150\s2_100_res_vis.png,Canon120-2,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-2\150\s2_10_res_vis.png,Canon120-2,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-2\150\s2_11_res_vis.png,Canon120-2,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-2\150\s2_12_res_vis.png,Canon120-2,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-2\150\s2_13_res_vis.png,Canon120-2,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-2\150\s2_14_res_vis.png,Canon120-2,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-2\150\s2_15_res_vis.png,Canon120-2,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-2\150\s2_16_res_vis.png,Canon120-2,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-2\150\s2_17_res_vis.png,Canon120-2,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-2\150\s2_18_res_vis.png,Canon120-2,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-2\150\s2_19_res_vis.png,Canon120-2,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-2\150\s2_1_res_vis.png,Canon120-2,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-2\150\s2_20_res_vis.png,Canon120-2,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-2\150\s2_21_res_vis.png,Canon120-2,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-2\150\s2_22_res_vis.png,Canon120-2,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-2\150\s2_23_res_vis.png,Canon120-2,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-2\150\s2_24_res_vis.png,Canon120-2,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-2\150\s2_25_res_vis.png,Canon120-2,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-2\150\s2_26_res_vis.png,Canon120-2,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-2\150\s2_27_res_vis.png,Canon120-2,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-2\150\s2_28_res_vis.png,Canon120-2,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-2\150\s2_29_res_vis.png,Canon120-2,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-2\150\s2_2_res_vis.png,Canon120-2,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-2\150\s2_30_res_vis.png,Canon120-2,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-2\150\s2_31_res_vis.png,Canon120-2,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-2\150\s2_32_res_vis.png,Canon120-2,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-2\150\s2_33_res_vis.png,Canon120-2,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-2\150\s2_34_res_vis.png,Canon120-2,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-2\150\s2_35_res_vis.png,Canon120-2,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-2\150\s2_36_res_vis.png,Canon120-2,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-2\150\s2_37_res_vis.png,Canon120-2,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-2\150\s2_38_res_vis.png,Canon120-2,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-2\150\s2_39_res_vis.png,Canon120-2,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-2\150\s2_3_res_vis.png,Canon120-2,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-2\150\s2_40_res_vis.png,Canon120-2,150
D:\Infosys_AI-Tracefinder\Data\Residuals_vis\Canon120-2\150\s2_41_res_vis.png,Canon120-2,150
